time,turn,box,behind,grade,comments,distance,raceDate,dogName,start,schedule,weight,raceNumber,track,stretch,finish
31.15,5,4,10.0,B,Crowded In Stretch-mid,550,2018-02-02,Fame Time,6,A,69.5,12,DerbyLane,5,5
31.25,6,8,12.0,B,Bumped Both Turns-mid,550,2018-02-02,Dangerous Woman,2,A,65.0,12,DerbyLane,6,6
31.28,4,7,12.0,B,Slight Bump 1st Tn-fad,550,2018-02-02,Malory Stranberg,4,A,65.5,12,DerbyLane,4,7
31.3,7,5,12.0,B,Blocked 1st-bumped 2nd,550,2018-02-02,Fiesta Mountain,5,A,72.5,12,DerbyLane,7,8
30.58,1,1,4.0,D,Took Charge 1st Tn-ins,550,2018-02-02,Lagro Isaac,2,A,74.0,13,DerbyLane,1,1
31.28,3,1,0.5,C,Reclaimed Place-midtrk,550,2018-02-02,Blutoogetamoveon,7,E,72.0,9,DerbyLane,2,2
31.3,1,5,0.75,C,Outfinished-showed-ins,550,2018-02-02,Barts Downtown,1,E,68.5,9,DerbyLane,1,3
31.42,5,6,2.5,C,Shuffled Back 1st Turn,550,2018-02-02,Rtr Foxey Lady,3,E,65.0,9,DerbyLane,5,4
31.45,7,8,3.0,C,Slow Start-cut In-gain,550,2018-02-02,Jiminy Delilah,8,E,63.5,9,DerbyLane,8,5
31.46,4,7,3.0,C,Swung Wd 1st-weakened,550,2018-02-02,Phantom Marlow,2,E,60.0,9,DerbyLane,3,6
31.56,6,3,4.5,C,Blocked 1st Tn-wide 2n,550,2018-02-02,Pj Quick Attack,5,E,58.5,9,DerbyLane,6,7
31.61,8,4,5.0,C,Impeded 1st Turn-faded,550,2018-02-02,C Soaring Star,4,E,59.0,9,DerbyLane,7,8
30.88,4,6,4.0,D,Quick Start-placed-out,550,2018-02-02,Jiminy Garnet,1,A,56.5,13,DerbyLane,4,2
30.9,2,4,4.5,D,Settled For Show-midtk,550,2018-02-02,Simone Iris,3,A,65.5,13,DerbyLane,2,3
31.08,3,7,7.0,D,Lacked Late Speed-midt,550,2018-02-02,Jsk Dutchman,4,A,72.0,13,DerbyLane,3,4
31.12,5,3,8.0,D,Close Qtrs 1st Tn-bmpd,550,2018-02-02,Ozark Tammy,6,A,60.0,13,DerbyLane,5,5
31.39,6,2,11.0,D,Off Slow-blocked-bmpd,550,2018-02-02,Yolo Castro,8,A,78.5,13,DerbyLane,6,6
31.45,7,5,12.0,D,Impeded 1st-swung Wd,550,2018-02-02,Ww Caspian Sea,7,A,69.0,13,DerbyLane,7,7
31.73,8,8,16.0,D,Shut Off 1st Tn-bumped,550,2018-02-02,Killer Fox,5,A,71.0,13,DerbyLane,8,8
30.47,1,6,3.5,C,Not To Be Denied-insid,550,2018-02-02,Pj Whatchagondo,1,A,58.5,14,DerbyLane,2,1
30.37,1,6,4.0,A,Box To Wire-midtrack,550,2018-02-02,Ch Nuttin Honey,1,E,60.0,10,DerbyLane,1,1
30.64,2,2,4.0,A,Nearest Contender-mid,550,2018-02-02,Kaias Blackjack,3,E,82.0,10,DerbyLane,2,2
30.72,3,8,5.0,A,Gain To Stretch-showed,550,2018-02-02,Sovereign Empire,5,E,75.5,10,DerbyLane,4,3
30.86,4,7,7.0,A,Varied Little-inside,550,2018-02-02,Flamenco Dancer,4,E,62.5,10,DerbyLane,3,4
31.24,5,4,12.0,A,Impeded 1st Turn-insid,550,2018-02-02,Katie Clawson,2,E,62.0,10,DerbyLane,5,5
31.3,6,3,13.0,A,Nudged Wide 1st Turn,550,2018-02-02,Pj Dontlookback,7,E,71.5,10,DerbyLane,8,6
31.44,7,1,15.0,A,Close Qtrs 1st Tn-bmpd,550,2018-02-02,Ctw Party Animal,6,E,69.5,10,DerbyLane,6,7
30.71,2,2,3.5,C,Led Briefly-placed-rai,550,2018-02-02,Imark Lonnie,2,A,69.5,14,DerbyLane,1,2
30.78,4,3,4.5,C,Up For Show-midtrack,550,2018-02-02,Penrose Eugene,5,A,70.0,14,DerbyLane,4,3
30.86,3,5,5.5,C,Lacked Late Speed-outs,550,2018-02-02,Flying Tall Tale,3,A,75.5,14,DerbyLane,3,4
30.97,5,1,7.0,C,Some Early Gain-outsid,550,2018-02-02,Captin Awveiss,8,A,81.0,14,DerbyLane,5,5
30.99,6,7,7.5,C,Sought Rail Early-crwd,550,2018-02-02,Barts Cutthecord,7,A,62.0,14,DerbyLane,6,6
31.15,7,4,10.0,C,Blocked 1st Turn-midtr,550,2018-02-02,Ww Orange County,6,A,75.0,14,DerbyLane,7,7
31.22,8,8,10.0,C,Shut Off 1st-went Wide,550,2018-02-02,Kl's Trixie,4,A,59.5,14,DerbyLane,8,8
37.8,2,7,0.75,C,Turned It On-midtrack,660,2018-02-02,Dogger Bank,4,A,70.5,15,DerbyLane,2,1
31.51,8,5,16.0,A,Off Last-bumped 1st Tn,550,2018-02-02,Bartscatfishjack,8,E,72.5,10,DerbyLane,7,8
30.92,1,4,4.0,D,Grabbed Lead 1st Turn,550,2018-02-02,Pj Nothing New,3,E,64.5,11,DerbyLane,1,1
31.19,2,1,4.0,D,Gain To Stretch-placed,550,2018-02-02,Sisko,5,E,73.0,11,DerbyLane,4,2
31.38,3,8,6.5,D,Quick Start-showed-md,550,2018-02-02,Blutoo Baby Nut,1,E,63.0,11,DerbyLane,3,3
31.51,5,3,8.5,D,Belated Drive-outside,550,2018-02-02,Charlie Myth,8,E,80.0,11,DerbyLane,8,4
31.55,4,2,9.0,D,Sought Rail 1st-bumped,550,2018-02-02,Jsk Laredo,4,E,68.0,11,DerbyLane,6,5
31.59,6,6,9.5,D,Crowded 1st Turn-midtk,550,2018-02-02,Ozark Thumper,7,E,70.0,11,DerbyLane,7,6
